"Your selection did not include any SEUR shipments: please include some SEUR shipments in your selection.", "La selección no contenía ningún envío de SEUR. Por favor, incluye unos envíos de SEUR en la selección."
"Your selection contained some non-SEUR shipments: these were excluded from the manifest.", "La selección contenía unos envíos no de SEUR. Se han excluido del manifiesto."
"The manifest could not be printed. Please review your selection of shipments: some shipments may be from closed or shipped orders, which cannot be included in the manifest.", "No se ha podido imprimir el manifiesto. Por favor, revisa la selección de envíos. No se pueden incluir envíos antiguos o ya entregados."
"Invalid Cash On Delivery Surcharge '%s' in the Row #%s.", "Valor del suplemento de contrareembolso '%s' inválido en la fila #%s."
"SEUR Pending Cash On Delivery", "SEUR Pendiente Contrareembolso"
"New order status", "Nuevo estado de pedido"
" incl. tax", " IVA incl."
" excl. tax", " IVA excl."
"%1$d records have been imported. See the following list of errors for each record that has not been imported: %2$s", "Se han importado %1$d filas. Véase la siguiente lista de errores para cada fila que no se ha importado: %2$s"
"Street Type", "Tipo Vía"
"Street Name", "Nombre Vía"
"House Number/Name", "Número Vía"
"Rest of Address", "Resto"
"SEUR Table Rates", "Tabla de costes SEUR"
"Select a collection point", "Selecciona un punto de recogida"
"Name:", "Nombre:"
"Address:", "Dirección:"
"Telephone:", "Teléfono"
"Opening times:", "Horario:"
"Show map", "Ver en el mapa"
"There are no collection points near you. Please select another delivery method.", "No se encontró ninguna oficina cerca de usted. Por favor, seleccione otro método de entrega."
"An error occurred whilst retrieving the list of collection points near you. Please select another delivery method.", "Hubo un problema recogienda la lista de oficinas cerca de usted. Por favor, seleccione otro método de entrega."
"You", "Usted"
"Selected Office", "Oficina seleccionada"
"SEUR Office", "Oficina SEUR"
"Click on a marker to change your selection", "Haga clic en un marcador para cambiar su selección"
"Close", "Cerrar"
"Select Collection Point", "Selecciona Punto de Recogida"
"Collection Point", "Oficina seleccionada"
"Please select an option", "Por favor, selecciona una opción"
"Contact Mobile", "Móvil de contacto"
"Please enter a valid Spanish mobile number", "Número móvil inválido"
"The shipping label returned by SEUR could not be decoded.", "La etiqueta de envío devuelta por SEUR no se ha podido descodificar."
"The shipment was communicated successfully to SEUR but a problem occurred whilst saving the label returned: %s.", "El envío se comunicó correctamente a SEUR pero hubo un problema guardando la etiqueta de envío devuelta: %s."
"Select 'yes' if you want to skip the dialog for distributing your shipment into packages and send all items in one package by default.", "Selecciona 'Sí' si quieres omitir por defecto el diálogo para separar los envíos en bultos y enviarlos por defecto en un bulto."
"Skip Packed Shipment Dialog", "Omitir diálogo de distribución de bultos"
"Print Shipping Labels (Thermal)", "Imprimir etiquetas de envío (térmica)"
"The orders you selected do not contain any shipments. Please select the orders with shipments whose labels you want to print.", "Los pedidos seleccionados no contienen envíos. Por favor, selecciona los pedidos con envíos cuyas etiquetas quieres imprimir."
"There was nothing to print. Your selection did not contain any shipments that have been communicated to SEUR.", "No había nada que imprimir. Tu selección no contenía ningún envío que se ha comunicado a SEUR."
"Your selection contains shipping labels that require different printers. Perhaps you have changed your configured printer, or are selecting shipments from different websites or stores that use different printers. Please limit your selection to shipments that use the same printer, or print the shipping labels individually.", "Los envíos seleccionados requieren distintas impresoras para imprimir sus etiquetas de envío. Puede que hayas cambiado recientemente la impresora configurada, o bien que hayas seleccionando envíos de sitios o de tiendas que usan diferentes impresoras. Por favor, limita la selección a envíos que usen la misma impresora, o imprime cada etiqueta por separado."
"The shipping labels for your selection could not be printed because they contain shipping labels in PDF format. Please use the option 'Print Shipping Labels' to print PDF shipping labels.", "Las etiquetas de envío no se han podido imprimir porque la selección contenía etiquetas en formato PDF. Por favor, utiliza la opción 'Imprimir etiquetas de envío' para imprimir etiquetas en formato PDF."
"Printing completed", "Impresión completada"
"Not printed yet", "No imprimido todavía"
"Printing in progress", "Impresión en progreso"
"Printing timed out", "Tiempo de espera agotado"
"Track %s", "Seguimiento %s"
"The shipment could not be communicated to SEUR because the postcode and post town do not match up. Please try again selecting the option 'Show package distribution dialog' to correct errors in postcode/post town.", "El envío no se ha podido comunicar a SEUR porque el código postal no corresponde con la población. Por favor, vuelve a intentar usando la opción 'Mostrar diálogo de distribución de bultos' para corregir errores en el código postal/la población."
"The shipment could not be communicated to SEUR because the postcode and post town do not match up. Please try again, using the dialog to correct errors in postcode/post town.", "El envío no se ha podido comunicar a SEUR porque el código postal no corresponde con la población. Por favor, vuelve a intentar utilizando el diálogo para corregir errores en el código postal/la población."
"Error communicating shipment to SEUR. SEUR says, '%s'", "Error comunicando envío a SEUR. SEUR dice '%s'."
"Error in communication: %s", "Error en la comunicación: %s"
"Please select the SEUR office from which you would like to collect your order.", "Por favor, selecciona un punto de recogida de SEUR para recoger tu pedido."